permalink,api_path,web_path,api_url,name,stock_exchange,stock_symbol,primary_role,short_description,profile_image_url,domain,homepage_url,facebook_url,twitter_url,linkedin_url,city_name,region_name,country_code,created_at,updated_at
henya-direct,organizations/henya-direct,organization/henya-direct,https://api.crunchbase.com/v3.1/organizations/henya-direct,Henya Direct,,,company,Henya Direct is an online store that offers promotional products and other related accessories to various customers.,http://public.crunchbase.com/t_api_images/s7y4f05jgfx91wjwhgdu,henyadirect.com/,http://www.henyadirect.com/,https://www.facebook.com/Henya-Direct-425798873635/,https://twitter.com/HenyaDirect,https://www.linkedin.com/company/henya-direct-llc/,College Place,Washington,United States,1598438941,1598876009
tokyo-higher-taxi-association,organizations/tokyo-higher-taxi-association,organization/tokyo-higher-taxi-association,https://api.crunchbase.com/v3.1/organizations/tokyo-higher-taxi-association,Tokyo Hire-Taxi Association,,,company,Tokyo Hire-Taxi Association is an online portal that provides cab booking services.,http://public.crunchbase.com/t_api_images/rki6vwr7rvzoso6uatyw,or.jp/,http://taxi-tokyo.or.jp/,,,,Tokyo,Tokyo,Japan,1598265649,1598875989
abphone,organizations/abphone,organization/abphone,https://api.crunchbase.com/v3.1/organizations/abphone,ABphone,,,company,"ABphone is an information technology, web design, and consulting company.",http://public.crunchbase.com/t_api_images/qm6kco4xyankd7rkcbiw,co.jp/,https://abphone.co.jp/,https://www.facebook.com/abphone.biz/,https://www.twitter.com/abphonejp,,Tokyo,Tokyo,Japan,1598875972,1598875972
stox-6b58,organizations/stox-6b58,organization/stox-6b58,https://api.crunchbase.com/v3.1/organizations/stox-6b58,Stox,,,company,"the tools you require to monitor your global stock portfolio, track your performance and stay up to date with an easy-to-use interface",http://public.crunchbase.com/t_api_images/ytpcan9m5ft6zpdwncjq,stox.app,https://www.stox.app,https://www.facebook.com/getstox/,https://twitter.com/getstox,https://www.linkedin.com/company/getstox/,Barcelona,Catalonia,Spain,1592310989,1598875950
living,organizations/living,organization/living,https://api.crunchbase.com/v3.1/organizations/living,LIVING,,,company,"LIVING is an advertising, broadcasting, and media production company.",http://public.crunchbase.com/t_api_images/mfppzqkb0yt5bnya4xnk,ehimeliving.co.jp,http://www.ehimeliving.co.jp,https://www.facebook.com/living.matsuyama,,,Matsuyama,Ehime,Japan,1598875932,1598875932
kawasaki-co,organizations/kawasaki-co,organization/kawasaki-co,https://api.crunchbase.com/v3.1/organizations/kawasaki-co,Kawasaki & Co,tyo,3045,company,Kawasaki & Co specializes in retail sale of a range of canned foods and dry goods.,http://public.crunchbase.com/t_api_images/qskanujjlldqdple45b6,co.jp/,https://www.kawasaki-corp.co.jp/,,,,Tadaoka,Osaka,Japan,1582854603,1598875928
simple-solutions-computing,organizations/simple-solutions-computing,organization/simple-solutions-computing,https://api.crunchbase.com/v3.1/organizations/simple-solutions-computing,Simple Solutions Computing,,,company,"Simple Solutions Computing renders services in flexible service plans, managed services and offsite cloud platforms with remote assistance.",http://public.crunchbase.com/t_api_images/aknsco8bu5p0kuev8cyj,sscomputing.com/,https://www.sscomputing.com/,,,,Woodinville,Washington,United States,1598852281,1598875926
eicom-eeb3,organizations/eicom-eeb3,organization/eicom-eeb3,https://api.crunchbase.com/v3.1/organizations/eicom-eeb3,Eicom,,,company,Eicom is an information technology company specialized in application and software development services.,http://public.crunchbase.com/t_api_images/hljzmzwddwwdb2xpksp5,co.jp/,http://www.eicom-tky.co.jp/,,,,Tokyo,Tokyo,Japan,1598875923,1598875923
aisas,organizations/aisas,organization/aisas,https://api.crunchbase.com/v3.1/organizations/aisas,AISAS,,,company,"AISAS offers computer system consultancy, software development & sales services for mail order and tea businesses.",http://public.crunchbase.com/t_api_images/nraivb13yfu7swvldksa,aisas.co.jp,http://www.aisas.co.jp,,,https://www.linkedin.com/company/%E3%82%A8%E3%82%A4%E3%82%B5%E3%82%B9%EF%BC%88%E6%A0%AA%EF%BC%89/,Shizuoka,Shizuoka,Japan,1598875891,1598875891
lansirlart-studios,organizations/lansirlart-studios,organization/lansirlart-studios,https://api.crunchbase.com/v3.1/organizations/lansirlart-studios,Lansirlart Studios,,,company,"Lansirlart Studios specializes in commercial painting, interior design, robotics, signage and sculpting services.",http://public.crunchbase.com/t_api_images/cwgqfttbmrxklzbc9mkr,lansirlartstudios.com/,https://www.lansirlartstudios.com/,https://www.facebook.com/lansirlartstudios/,,https://www.linkedin.com/company/lansirlart-studios-llc/,Orlando,Florida,United States,1598524952,1598875887
prove-1482,organizations/prove-1482,organization/prove-1482,https://api.crunchbase.com/v3.1/organizations/prove-1482,Prove,,,company,Prove provides a solution to issue digital identities and to identify users remotely.,http://public.crunchbase.com/t_api_images/tng7lvhuniik3pbb71bq,proveglobal.com/,https://www.proveglobal.com/,https://www.facebook.com/getprove/,,https://www.linkedin.com/company/proveglobal,Stockholm,Stockholms Lan,Sweden,1598539016,1598875859
ske-labs,organizations/ske-labs,organization/ske-labs,https://api.crunchbase.com/v3.1/organizations/ske-labs,SKE Labs,,,company,SKE Labs makes sensory awareness and cloud-based connected devices.,http://public.crunchbase.com/t_api_images/egr598ellzdqzkbnsvvw,skelabs.com/,http://skelabs.com/,,http://twitter.com/skelabsinc,http://www.linkedin.com/company/ske-labs,Toronto,Ontario,Canada,1406666826,1598875853
margaaa,organizations/margaaa,organization/margaaa,https://api.crunchbase.com/v3.1/organizations/margaaa,Margaaa,,,company,"Margaaa deals with disaster recovery, Remodeling/ Mold Inspection, property restoration and cleaning services.",http://public.crunchbase.com/t_api_images/vvecn9qdsjc5m8gudz9x,margaaa.com,http://www.margaaa.com,https://www.facebook.com/MargaaaServices,https://twitter.com/margaaaservices,https://www.linkedin.com/company/margaaa-services/,Annandale,Virginia,United States,1598519498,1598875847
seam,organizations/seam,organization/seam,https://api.crunchbase.com/v3.1/organizations/seam,Seam,,,company,Seam is an API for developers to control homes and buildings.,http://public.crunchbase.com/t_api_images/d75yq2iiz2nuorxkrybg,getseam.com/,https://getseam.com/,https://www.facebook.com/getseam,https://twitter.com/helloseam,https://www.linkedin.com/company/getseam/,San Francisco,California,United States,1592931747,1598875808
monster-10b8,organizations/monster-10b8,organization/monster-10b8,https://api.crunchbase.com/v3.1/organizations/monster-10b8,Monster Development,,,company,"Monster Development is an IT firm that provides web design, web hosting, graphic design and multimedia design services for business.",http://public.crunchbase.com/t_api_images/f4y4oo1fcve5ykh1ydxw,monsterdevelopment.com,http://www.monsterdevelopment.com,https://www.facebook.com/pg/monsterdevelopment/,https://www.twitter.com/https://twitter.com/monsterdevelop,https://www.linkedin.com/company/monster-development/,Seattle,Washington,United States,1598554756,1598875762
eco-trans,organizations/eco-trans,organization/eco-trans,https://api.crunchbase.com/v3.1/organizations/eco-trans,Eco Trans,,,company,"Eco Trans works in the area of waste collection and management, marketing, recycling, and renders cash rent services.",http://public.crunchbase.com/t_api_images/b447496625e8d37198f3,eco-trans.gr,http://www.eco-trans.gr,https://www.facebook.com/ecotransepe,https://twitter.com/ecotransltd?lang=en,,Thessaloníki,Thessaloniki,Greece,1591753115,1598875746
kst-industries-inc,organizations/kst-industries-inc,organization/kst-industries-inc,https://api.crunchbase.com/v3.1/organizations/kst-industries-inc,KST Industries,,,company,KST Industries is a private holding company that aims to enhance shareholders' value by achieving consistent profitable growth.,http://public.crunchbase.com/t_api_images/yc4j4sfncfpcd9khvxuk,kstindustries.com/,http://www.kstindustries.com/,,,,Mississauga,Ontario,Canada,1581367122,1598875727
verto-73ad,organizations/verto-73ad,organization/verto-73ad,https://api.crunchbase.com/v3.1/organizations/verto-73ad,Verto Health,,,company,Verto Health is a healthcare technology solutions and services company.,http://public.crunchbase.com/t_api_images/ed3d3d3255cb22b4f6e8,verto.health/,https://verto.health/,,,https://www.linkedin.com/company/vertoinc,Ottawa,Ontario,Canada,1591219488,1598875711
waseda-university-academic-solution,organizations/waseda-university-academic-solution,organization/waseda-university-academic-solution,https://api.crunchbase.com/v3.1/organizations/waseda-university-academic-solution,Waseda University Academic Solutions,,,company,"Waseda University Academic Solutions provides educational support, information system support and support for academic research activities.",http://public.crunchbase.com/t_api_images/bisdeoxseff4bqcytou5,w-as.jp/,https://www.w-as.jp/,,,,Tokyo,Tokyo,Japan,1598250922,1598875701
designhouse,organizations/designhouse,organization/designhouse,https://api.crunchbase.com/v3.1/organizations/designhouse,designhouse,,,company,designhouse is an internet and advertising agency.,http://public.crunchbase.com/t_api_images/ktp3glwlovdnlqtnqaoy,de-signhouse.de,http://www.de-signhouse.de,,,,Isernhagen-süd,Niedersachsen,Germany,1598504936,1598875694
my-media,organizations/my-media,organization/my-media,https://api.crunchbase.com/v3.1/organizations/my-media,My Media,,,company,"My Media manages a portfolio of brands from the most competitive sectors: telecommunications, entertainment, e-commerce.",http://public.crunchbase.com/t_api_images/v1412324422/exol8xu5vqxw6vzn4et1.png,mymedia.fr/,http://www.mymedia.fr/,https://www.facebook.com/agencemymedia,https://www.twitter.com/aravau,https://www.linkedin.com/company/my-media/,Levallois-perret,Ile-de-France,France,1412324609,1598875694
peeq-technologies-inc,organizations/peeq-technologies-inc,organization/peeq-technologies-inc,https://api.crunchbase.com/v3.1/organizations/peeq-technologies-inc,PEEQ Technologies Inc.,,,company,We build cutting edge presentation and audience participation systems for everything from the boardroom to the classroom.,http://public.crunchbase.com/t_api_images/v1442384085/ofxl6p3pa6sboq3bqnex.png,peeq.us,http://peeq.us,,,,Cary,North Carolina,United States,1432670711,1598875653
inflatable-gorilla,organizations/inflatable-gorilla,organization/inflatable-gorilla,https://api.crunchbase.com/v3.1/organizations/inflatable-gorilla,Inflatable Gorilla,,,company,The Inflatable Gorilla offers a strategic direction to exhibit in the environment by rendering inflatable advertising services.,http://public.crunchbase.com/t_api_images/twgns4weh6snerfze98f,com/index.html,http://theinflatablegorilla.com/index.html,https://www.facebook.com/InflatableG/,,,Tacoma,Washington,United States,1598434271,1598875646
fas-corporation,organizations/fas-corporation,organization/fas-corporation,https://api.crunchbase.com/v3.1/organizations/fas-corporation,FAS Corporation,,,company,FAS Corporation is an SEO consulting and printed material production company,http://public.crunchbase.com/t_api_images/ip8p9p7jutpyn5loop9j,co.jp/,https://www.fas-sol.co.jp/,https://www.facebook.com/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A8%E3%83%95%E3%82%A8%E3%83%BC%E3%82%A8%E3%82%B9-179924125393908/,,,Nagoya,Aichi,Japan,1598875638,1598875638
ronald-johnson-boxer-9f6b,organizations/ronald-johnson-boxer-9f6b,organization/ronald-johnson-boxer-9f6b,https://api.crunchbase.com/v3.1/organizations/ronald-johnson-boxer-9f6b,Ronald Johnson Boxer,,,company,Ronald Johnson Boxer is the Southern Regional Representative of the Libertarian Party of Nevada.,http://public.crunchbase.com/t_api_images/v1506332522/er21lu8pif9ejegcwqid.jpg,medium.com/@ronaldjohnsonboxer,https://medium.com/@ronaldjohnsonboxer,,https://twitter.com/ronaldjohnsonb2,,Las Vegas,Nevada,United States,1506332706,1598875549
ecoaz,organizations/ecoaz,organization/ecoaz,https://api.crunchbase.com/v3.1/organizations/ecoaz,Ecoaz,,,company,Ecoaz specializes in the PC academy and IT promotion businesses.,http://public.crunchbase.com/t_api_images/damrg120qk82zaakqkig,co.jp/,http://www.ecoaz.co.jp/,https://www.facebook.com/ECOAZ01/,https://www.twitter.com/EcoazCam,,Otsuki,Yamanashi,Japan,1598875546,1598875546
eit-2926,organizations/eit-2926,organization/eit-2926,https://api.crunchbase.com/v3.1/organizations/eit-2926,EIT,,,company,"EIT provides system integration, network security and security services.",http://public.crunchbase.com/t_api_images/wmwmwisgwzlesd4saftl,co.jp/,https://www.e-it.co.jp/,https://www.facebook.com/eitcop/,,https://www.linkedin.com/company/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A4%E3%83%BC%E3%82%A2%E3%82%A4%E3%83%86%E3%82%A3%E3%83%BC/,Tokyo,Tokyo,Japan,1598875546,1598875546
earth-ocean-farms,organizations/earth-ocean-farms,organization/earth-ocean-farms,https://api.crunchbase.com/v3.1/organizations/earth-ocean-farms,Earth Ocean Farms,,,company, Earth Ocean Farms is the necessary infrastructure for the reproduction of totoaba and huachinango as a sustainable and prosperous resource.,http://public.crunchbase.com/t_api_images/emcgpe3vrepeofqkbkes,earthoceanfarm.com/,http://www.earthoceanfarm.com/,https://www.facebook.com/EOFmex/,,,La Paz,Baja California Sur,Mexico,1534314706,1598875544
xtrans-cs,organizations/xtrans-cs,organization/xtrans-cs,https://api.crunchbase.com/v3.1/organizations/xtrans-cs,XTRANS CS,,,company,XTRANS CS provides internet server hosting and cloud integration services.,http://public.crunchbase.com/t_api_images/nqfjr4fenkjqkiyifr7o,xtrans-cs.jp/,https://xtrans-cs.jp/,,,,Osaka-shi,Osaka,Japan,1598875525,1598875525
eightknot,organizations/eightknot,organization/eightknot,https://api.crunchbase.com/v3.1/organizations/eightknot,EightKnot,,,company,"EightKnot offers web design, web development, advertising, and SEO services.",http://public.crunchbase.com/t_api_images/uf0dqimqjdm93rbceugs,8knot.com/,http://www.8knot.com/,,,,Kawasaki,Kanagawa,Japan,1598875522,1598875522
a2,organizations/a2,organization/a2,https://api.crunchbase.com/v3.1/organizations/a2,A2,,,company,"A2 offers hardware development, software development, manufacturing, and sales services.",http://public.crunchbase.com/t_api_images/cvefpkmr6byr6wd71ydh,co.jp/,https://www.a-2.co.jp/,,,https://www.linkedin.com/company/%EF%BC%88%E6%A0%AA%EF%BC%89%E3%82%A8%E3%82%A4%E3%83%84%E3%83%BC,Tokyo,Tokyo,Japan,1598875490,1598875490
calico,organizations/calico,organization/calico,https://api.crunchbase.com/v3.1/organizations/calico,Calico,,,company,Google-sponsored R&D company targeting the challenges of aging and diseases,http://public.crunchbase.com/t_api_images/v1471545489/zhrjgqvwqfzpvwowwwtk.png,calicolabs.com,http://www.calicolabs.com,https://m.facebook.com/cryonicsisrael/posts/755654814545902,https://twitter.com/calico,https://www.linkedin.com/company/calico-life-sciences-llc,San Francisco,California,United States,1310442717,1598875466
forney,organizations/forney,organization/forney,https://api.crunchbase.com/v3.1/organizations/forney,FORNEY,,,company,FORNEY is a Civil Engineering company.,http://public.crunchbase.com/t_api_images/v1487234080/ev7hsppgwn30kstym96j.png,forneyonline.com/,http://www.forneyonline.com/,,,https://www.linkedin.com/company/forney/,Zelienople,Pennsylvania,United States,1487234088,1598875464
design-character-company,organizations/design-character-company,organization/design-character-company,https://api.crunchbase.com/v3.1/organizations/design-character-company,Design & Character,,,company,Design & Character is an online store for promotional products and gifts.,http://public.crunchbase.com/t_api_images/ogtno1dcaeyz2nd9foah,designcharacter.com/,https://www.designcharacter.com/,,,,Lawrenceville,Georgia,United States,1598848571,1598875463
sunariya-group,organizations/sunariya-group,organization/sunariya-group,https://api.crunchbase.com/v3.1/organizations/sunariya-group,Sunariya Group,,,company,Sunariya Group helps ,http://public.crunchbase.com/t_api_images/oodzmljxeg4zbefyyjw0,sunariya.com,http://www.sunariya.com,https://www.facebook.com/Sunariyagroup,,,,,,1524026081,1598875460
ezix,organizations/ezix,organization/ezix,https://api.crunchbase.com/v3.1/organizations/ezix,EZIX,,,company,EZIX is an information technology company that develops medical software.,http://public.crunchbase.com/t_api_images/a1vnncromsnmtv66kbfj,ezix-inc.com/,http://www.ezix-inc.com/,https://www.facebook.com/ezixinc/,,https://www.linkedin.com/company/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A8%E3%82%B8%E3%83%83%E3%82%AF%E3%82%B9,Nagoya,Aichi,Japan,1598875453,1598875453
pcr-web-design,organizations/pcr-web-design,organization/pcr-web-design,https://api.crunchbase.com/v3.1/organizations/pcr-web-design,PCR Web Design,,,company,"PCR Web Design is an IT firm that offers customized website development, applications and SEO services.",http://public.crunchbase.com/t_api_images/fwfwob2vcgdzgoz1ntwi,pcr-webdesign.com/,http://pcr-webdesign.com/,,,https://www.linkedin.com/company/pcr-web-design-ltd./,Boulder,Colorado,United States,1598520872,1598875436
national-automobile-dealers-association,organizations/national-automobile-dealers-association,organization/national-automobile-dealers-association,https://api.crunchbase.com/v3.1/organizations/national-automobile-dealers-association,National Automobile Dealers Association (NADA),,,company,"National Automobile Dealers Association, a non-profit organization, represents domestic and international new-car and -truck dealerships.",http://public.crunchbase.com/t_api_images/v1425994477/bzkgvcgusevqyfluvbf5.jpg,nada.org/,http://www.nada.org/,https://www.facebook.com/NADAUpdate/timeline?ref=page_internal,https://twitter.com/NADAUpdate,https://www.linkedin.com/company/nada,Mclean,Virginia,United States,1425994561,1598875415
eleanor-e433,organizations/eleanor-e433,organization/eleanor-e433,https://api.crunchbase.com/v3.1/organizations/eleanor-e433,Eleanor,,,company,Eleanor specializes in the development of websites and mobile applications and sales services.,http://public.crunchbase.com/t_api_images/nommugk1nb34rorniaxx,eleanorinc.jp/,http://www.eleanorinc.jp/,,,,Tokyo,Tokyo,Japan,1598875412,1598875412
anotheruniverse-com,organizations/anotheruniverse-com,organization/anotheruniverse-com,https://api.crunchbase.com/v3.1/organizations/anotheruniverse-com,AnotherUniverse.com,,,company,AnotherUniverse.com is an Internet retailer of comics and science fiction related products.,,anotheruniverse.com/,http://www.anotheruniverse.com/,https://www.facebook.com/anotheruniversedotcom,https://www.twitter.com/anotherunivers,,,,,1451630199,1598875406
ats-7536,organizations/ats-7536,organization/ats-7536,https://api.crunchbase.com/v3.1/organizations/ats-7536,ATS,,,company,"ATS offers system development, product development and IT-related services.",http://public.crunchbase.com/t_api_images/ugod6mzqyv6ajtgwglth,ats-gr.jp/ats/,https://www.ats-gr.jp/ats/,,,,Tokyo,Tokyo,Japan,1598875400,1598875400
elecom-e49f,organizations/elecom-e49f,organization/elecom-e49f,https://api.crunchbase.com/v3.1/organizations/elecom-e49f,ELECOM,,,company,ELECOM provides information technology solution services.,http://public.crunchbase.com/t_api_images/rvajfaupoo8ykny1a08y,e-elecom.co.jp,https://e-elecom.co.jp,,,,Ishinomaki,Miyagi,Japan,1598875393,1598875393
eco-science,organizations/eco-science,organization/eco-science,https://api.crunchbase.com/v3.1/organizations/eco-science,Eco Science,,,company,"Eco Science is a website design, website development, and event planning company.",http://public.crunchbase.com/t_api_images/jcn64f5vmirp3ogchnzg,co.jp/,http://www.eco-science.co.jp/,,,,Nagoya,Aichi,Japan,1598875385,1598875385
the-lettershop-group,organizations/the-lettershop-group,organization/the-lettershop-group,https://api.crunchbase.com/v3.1/organizations/the-lettershop-group,The Lettershop Group,,,company,The Lettershop Group is one of the leading print marketing and mailing solution providers in Europe.,http://public.crunchbase.com/t_api_images/jwcapulk5syxilhpfglq,co.uk/,http://www.tlg.co.uk/,,https://twitter.com/lettershopgroup,https://www.linkedin.com/company/the-lettershop/,Leeds,Leeds,United Kingdom,1508238856,1598875360
marks-solutions,organizations/marks-solutions,organization/marks-solutions,https://api.crunchbase.com/v3.1/organizations/marks-solutions,Marks Solutions,,,company,IT Training Solutions -SAP|Oracle|DW|Java|Testing Etc.,http://public.crunchbase.com/t_api_images/v1397181860/8b6904898438ff187f77208a05464cb7.jpg,markssolutions.com,http://www.markssolutions.com,http://www.facebook.com/markssolutions,http://twitter.com/MarksERP,https://www.linkedin.com/company/marks-solutions/about/,Bangalore,Karnataka,India,1346094101,1598875354
sk-marketing-6461,organizations/sk-marketing-6461,organization/sk-marketing-6461,https://api.crunchbase.com/v3.1/organizations/sk-marketing-6461,SK Marketing,,,company,SK Marketing offers marketing and advertising services.,http://public.crunchbase.com/t_api_images/4b09892803b278a6b7d9,sk-marketing.org/,https://www.sk-marketing.org/,https://www.facebook.com/skmarketingberlin/,,https://www.linkedin.com/company/sk-marketing-berlin/,Berlin,Berlin,Germany,1598503567,1598875335
walled-city-co,organizations/walled-city-co,organization/walled-city-co,https://api.crunchbase.com/v3.1/organizations/walled-city-co,Walled City Co.,,,investor,Investment syndicate for seed and early-stage start-ups & entrepreneurs,http://public.crunchbase.com/t_api_images/wminbavrx6jc9xtejzx2,walledcity.co,https://walledcity.co,https://www.facebook.com/WalledCity.Co/,https://twitter.com/WalledCityCo,https://www.linkedin.com/company/walledcity/,Lahore,Punjab,Pakistan,1588879853,1598875280
elady,organizations/elady,organization/elady,https://api.crunchbase.com/v3.1/organizations/elady,eLADY,,,company,eLADY is an online retail shop for luxury brand goods in Japan.,http://public.crunchbase.com/t_api_images/o9jh5cstviv9li8gl8r6,co.jp/,https://www.elady.co.jp/,https://www.facebook.com/eLadyglobal,https://www.twitter.com/eladyjapan,https://www.linkedin.com/company/elady/,Tokyo,Tokyo,Japan,1598875264,1598875264
ivascular,organizations/ivascular,organization/ivascular,https://api.crunchbase.com/v3.1/organizations/ivascular,iVascular,,,company,iVascular develops innovative advanced medical devices and therapies for the treatment of disorders of the cardiovascular system,http://public.crunchbase.com/t_api_images/v1500640123/l8d9xghjjnvtfnkgx2t9.png,ivascular.global/,http://www.ivascular.global/,,,https://www.linkedin.com/company/ivascular,,,,1500640150,1598875245
breeze-it,organizations/breeze-it,organization/breeze-it,https://api.crunchbase.com/v3.1/organizations/breeze-it,Breeze IT,,,company,"Breeze IT offers a comprehensive suite of products, cloud services, managed services, and professional services.",http://public.crunchbase.com/t_api_images/msnytnfsqjf5e4e8iffn,breezeit.com/,https://www.breezeit.com/,https://www.facebook.com/BreezeIT/,https://twitter.com/breeze_it,https://www.linkedin.com/company/breezeit/,Costa Mesa,California,United States,1536170898,1598875238
adi-e5e6,organizations/adi-e5e6,organization/adi-e5e6,https://api.crunchbase.com/v3.1/organizations/adi-e5e6,ADI,,,company,"ADI is a management consulting company that focuses on performance management, leadership development, safety solutions and training.",http://public.crunchbase.com/t_api_images/vjn10sl6b96qtcm46g1l,aubreydaniels.com,https://www.aubreydaniels.com,https://www.facebook.com/Aubrey.Daniels.International/,https://twitter.com/aubreydaniels,https://www.linkedin.com/company/aubrey-daniels-international/,Atlanta,Georgia,United States,1598520030,1598875235
la-cordée,organizations/la-cordée,organization/la-cordée,https://api.crunchbase.com/v3.1/organizations/la-cordée,La Cordée,,,company,La Cordée is an online marketplace for clothing and footwear.,http://public.crunchbase.com/t_api_images/9c609914124096a588c5,lacordee.com/,https://www.lacordee.com/,https://www.facebook.com/lacordee/,https://twitter.com/lacordee,https://www.linkedin.com/company/la-cordee-/,Montréal,Quebec,Canada,1587692086,1598875231
denno,organizations/denno,organization/denno,https://api.crunchbase.com/v3.1/organizations/denno,DENNO,,,company,DENNO is developing software products for psychological examination and driving school.,http://public.crunchbase.com/t_api_images/p9qcxn0ldrqqviiuke3m,dennoo.co.jp,http://dennoo.co.jp,,,,Toranomon,Tokyo,Japan,1598875227,1598875227
consolidated-woodjam-copper,organizations/consolidated-woodjam-copper,organization/consolidated-woodjam-copper,https://api.crunchbase.com/v3.1/organizations/consolidated-woodjam-copper,Consolidated Woodjam Copper,cve,WCC,company,Consolidated Woodjam Copper mission statement is to fund cost effective exploration.,http://public.crunchbase.com/t_api_images/zkoyxgceamzv7xf43iuq,woodjamcopper.com/,http://www.woodjamcopper.com/,,,,Vancouver,Alberta,Canada,1520398865,1598875144
trade-navigator,organizations/trade-navigator,organization/trade-navigator,https://api.crunchbase.com/v3.1/organizations/trade-navigator,Trade Navigator,,,company,Trade Navigator offers software tools for traders that help in simplifying trading strategy development and implementation.,http://public.crunchbase.com/t_api_images/jvihh3bxjdq7imvsjkir,tradenavigator.com/,https://www.tradenavigator.com/,https://www.facebook.com/tradenavigator/,https://twitter.com/TradeNavigator,https://www.linkedin.com/company/genesis-financial-technologies/,Colorado Springs,Colorado,United States,1598432238,1598875144
assetco,organizations/assetco,organization/assetco,https://api.crunchbase.com/v3.1/organizations/assetco,AssetCo,lse,ASTO,company,AssetCo provision of management and resources to the fire and rescue emergency services in international markets.,http://public.crunchbase.com/t_api_images/vof68nadrkme9kam9phy,assetco.com/,http://www.assetco.com/,,,,Monmouth,Monmouthshire,United Kingdom,1515151763,1598875123
